new_name,country,lon,lat
Clarkson University,United States of America,-147.8729731,64.8418088
Cornell University,United States of America,-76.473492,42.453473
Drexel University,United States of America,-147.8646944,64.8363204
Wake Forest University,United States of America,-80.277983,36.131956
Princeton University,United States of America,-74.651427,40.343972
Syracuse University,United States of America,-76.135169,43.039161
Lehigh University,United States of America,-147.858826,64.8391522
Dartmouth College,United States of America,-72.288693,43.704425
Stanford University,United States of America,-122.16958,37.427432
Duke University,United States of America,-78.938272,36.001434
Yale University,United States of America,-72.9223,41.316324
Baylor University,United States of America,-147.8009743,64.8852156
University of Alaska Fairbanks,United States of America,-147.7764499,64.8598132
Hunter College,United States of America,-147.6960657,64.858932
Oregon State University,United States of America,-123.086563,44.051085
Portland State University,United States of America,-122.6885447,45.513099
Oregon Health and Science University,United States of America,-122.6854607,45.4990977
"University of California, San Francisco",United States of America,-122.4767893,37.7233035
San Francisco State University,United States of America,-122.4760196,37.7244047
"University of California, Berkeley",United States of America,-122.2804342,37.8764984
Albany Medical College,United States of America,-122.2676485,37.8627601
"University of California, Davis",United States of America,-121.7526141,38.5412104
"University of California, Merced",United States of America,-121.4091996,38.5351978
Marquette University,United States of America,-121.4033403,38.5527826
California Institute of Technology,United States of America,-121.157729,38.673863
"University of Nevada, Reno",United States of America,-119.8145014,39.5440732
"University of California, Los Angeles",United States of America,-118.2534733,34.0533937
"University of California, Irvine",United States of America,-117.8352875,33.6369838
"University of California, Santa Barbara",United States of America,-117.8082831,33.6858022
Clemson University,United States of America,-117.3423757,33.9898194
"University of California, Riverside",United States of America,-117.3310404,34.0138733
University of Kentucky,United States of America,-117.3305834,33.9804348
"University of California, Santa Cruz",United States of America,-117.3163115,33.981043
Case Western Reserve University,United States of America,-117.2987262,34.0740102
Loma Linda University,United States of America,-117.2644858,34.0499856
San Diego State University,United States of America,-117.1689358,32.7279087
"University of California, San Diego",United States of America,-117.1651567,32.715133
"University of Nevada, Las Vegas",United States of America,-115.1361798,36.2008431
Northern Arizona University,United States of America,-114.3412464,34.4974836
University of Calgary,Canada,-114.1239754,51.069272
University of Montana - Missoula,United States of America,-113.939507,46.872505
