university_name,country
Massachusetts Institute of Technology (MIT),United States of America
University of Wisconsin - Madison,United States of America
"University of California, San Francisco",United States of America
The Johns Hopkins University,United States of America
The University of Tokyo,Japan
University of Michigan - Ann Arbor,United States of America
"The Imperial College of Science, Technology and Medicine",United Kingdom
Swiss Federal Institute of Technology Zurich,Switzerland
Washington University in St. Louis,United States of America
Rockefeller University,United States of America
"University of Minnesota, Twin Cities",United States of America
University of Colorado at Boulder,United States of America
The University of Texas at Austin,United States of America
The University of Texas Southwestern Medical Center at Dallas,United States of America
Pennsylvania State University - University Park,United States of America
"Rutgers, The State University of New Jersey - New Brunswick",United States of America
Pierre and Marie  Curie University - Paris 6,France
The University of Edinburgh,United Kingdom
University of Munich,Germany
Technical University Munich,Germany
The University of Manchester,United Kingdom
The Australian National University,Australia
University of Paris Sud (Paris 11),France
The Ohio State University - Columbus,United States of America
The University of Sheffield,United Kingdom
Moscow State University,Russia
University of Heidelberg,Germany
Purdue University - West Lafayette,United States of America
The Hebrew University of Jerusalem,Israel
King's College London,United Kingdom
University of Goettingen,Germany
Indiana University Bloomington,United States of America
Texas A&M University - College Station,United States of America
Ecole Normale Superieure - Paris,France
University of Roma - La Sapienza,Italy
Arizona State University - Tempe,United States of America
Baylor College of Medicine,United States of America
Catholic University of Leuven,Belgium
Catholic University of Louvain,Belgium
College of France,France
Mayo Medical School,United States of America
North Carolina State University - Raleigh,United States of America
State University of New York at Stony Brook,United States of America
Technion-Israel Institute of Technology,Israel
The University of Georgia,United States of America
The University of Glasgow,United Kingdom
University Libre Bruxelles,Belgium
University of Frankfurt,Germany
University of Hawaii at Manoa,United States of America
University of Massachusetts Amherst,United States of America
University of Muenster,Germany
University of Sao Paulo,Brazil
University of Tuebingen,Germany
University of Wuerzburg,Germany
Weizmann Institute of Science,Israel
Erasmus University,Netherlands
Joseph Fourier University (Grenoble 1),France
Mount Sinai School of Medicine,United States of America
Queen's University,Canada
Swiss Federal Institute of Technology of Lausanne,Switzerland
The University of Alabama at Birmingham,United States of America
The University of Calgary,Canada
The University of Connecticut - Storrs,United States of America
The University of Texas Health Science Center at Houston,United States of America
The University of Texas M. D. Anderson Cancer Center,United States of America
The University of Western Australia,Australia
University of Koeln,Germany
University of Leipzig,Germany
University of Mainz,Germany
University of Marburg,Germany
"University of Maryland, Baltimore",United States of America
University of Nebraska - Lincoln,United States of America
University of Paris Descartes (Paris 5),France
University of Paris Diderot (Paris 7),France
University of Tennessee - Knoxville,United States of America
University of Wageningen,Netherlands
Virginia Commonwealth University,United States of America
Ecole Polytechnique,France
Louisiana State University - Baton Rouge,United States of America
Paul Sabatier University (Toulouse 3),France
"Queen Mary, U. of London",United Kingdom
Queen's University Belfast,United Kingdom
Royal Institute of Technology,Sweden
State University of New York at Albany,United States of America
State University of New York at Buffalo,United States of America
The Chinese University of Hong Kong,Hong Kong
The George Washington University,United States of America
The Hong Kong University of Science and Technology,Hong Kong
The University of Adelaide,Australia
The University of Auckland,New Zealand
The University of Dundee,United Kingdom
The University of Hong Kong,Hong Kong
The University of New Mexico - Albuquerque,United States of America
The University of Reading,United Kingdom
The University of Texas Health Science Center at San Antonio,United States of America
The University of Texas Medical Branch at Galveston,United States of America
Thomas Jefferson University,United States of America
Umea University,Sweden
University of Alaska - Fairbanks,United States of America
University of Bochum,Germany
University of Bordeaux 1,France
University of Buenos Aires,Argentina
University of Colorado Health Science Center,United States of America
University of Durham,United Kingdom
University of Genova,Italy
University of Halle-Wittenberg,Germany
University of Kansas - Lawrence,United States of America
University of Karlsruhe,Germany
University of Liege,Belgium
University of Massachusetts Medical School - Worcester,United States of America
University of Medicine and Dentistry New Jersey,United States of America
University of Missouri - Columbia,United States of America
University of Montpellier 2,France
University of South Carolina - Columbia,United States of America
