university_name,new_name
Aix-Marseille University,Aix Marseille University
University of Freiburg,Albert Ludwig University of Freiburg
Brunel University London,Brunel University
Université catholique de Louvain,Catholic University of Louvain
Université Catholique de Louvain,Catholic University of Louvain
China Medical University,China Medical University (PRC)
City College of New York,City University of New York City College
William & Mary,College of William and Mary
Colorado State University - Fort Collins,Colorado State University
TU Dresden,Dresden University of Technology
École normale supérieure de Lyon,Ecole Normale Superieure - Lyon
École Normale Supérieure de Lyon,Ecole Normale Superieure - Lyon
École Normale Supérieure,Ecole Normale Superieure - Paris
École normale supérieure - Paris,Ecole Normale Superieure - Paris
École Polytechnique,Ecole Polytechnique
Eötvös Loránd University,Eotvos Lorand University
Erasmus University,Erasmus University Rotterdam
University of Frankfurt,Goethe University Frankfurt
"Imperial College of Science, Technology and Medicine",Imperial College London
Indiana University,Indiana University - Bloomington
Indiana University Bloomington,Indiana University - Bloomington
Indiana University-Purdue University at Indianapolis,Indiana University-Purdue University Indianapolis
University of Mainz,Johannes Gutenberg University of Mainz
Joseph Fourier University (Grenoble 1),Joseph Fourier University
University of Giessen,Justus Liebig University Giessen
Karlsruhe Institute of Technology (KIT),Karlsruhe Institute of Technology
KU Leuven,Katholieke Universiteit Leuven
King Fahd University of Petroleum & Minerals,King Fahd University of Petroleum and Minerals
King’s College London,King's College London
Korea Advanced Institute of Science and Technology (KAIST),Korea Advanced Institute of Science and Technology
Linköping University,Linkoping University
Moscow State University,Lomonosov Moscow State University
London School of Economics,London School of Economics and Political Science
LMU Munich,Ludwig Maximilian University of Munich
University of Munich,Ludwig Maximilian University of Munich
University of Halle-Wittenberg,Martin Luther University of Halle-Wittenberg
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology
MINES ParisTech,Mines ParisTech
National Sun Yat-sen University,National Sun Yat-Sen University
National Taiwan University of Science and Technology (Taiwan Tech),National Taiwan University of Science and Technology
North Carolina State University - Raleigh,North Carolina State University
Norwegian University of Science and Technology - NTNU,Norwegian University of Science and Technology
Ohio State University - Columbus,Ohio State University
"Ohio State University, Columbus",Ohio State University
Oklahoma State University–Stillwater,Oklahoma State University
Oregon Health & Science University,Oregon Health and Science University
Paris Diderot University – Paris 7,Paris Diderot University - Paris 7
University Paris Diderot - Paris 7,Paris Diderot University - Paris 7
Paul Sabatier University (Toulouse 3),Paul Sabatier University - Toulouse III
Pennsylvania State University - University Park,Pennsylvania State University
"Pennsylvania State University, University Park",Pennsylvania State University
Pierre and Marie  Curie University - Paris 6,Pierre and Marie Curie University
Pierre-and-Marie-Curie University,Pierre and Marie Curie University
Polytechnic Institute of Milan,Polytechnic University of Milan
Catholic University of Chile,Pontifical Catholic University of Chile
Purdue University,Purdue University - West Lafayette
"Purdue University, West Lafayette",Purdue University - West Lafayette
Queen’s University,Queen's University
Queen’s University Belfast,Queen's University Belfast
University of Rome III,Roma Tre University
KTH Royal Institute of Technology,Royal Institute of Technology
University of Bochum,Ruhr University Bochum
Heidelberg University,Ruprecht Karl University of Heidelberg
"Rutgers, the State University of New Jersey",Rutgers University-New Brunswick
"Rutgers, The State University of New Jersey - New Brunswick",Rutgers University-New Brunswick
Scuola Normale Superiore - Pisa,Scuola Normale Superiore di Pisa
Soochow University (Suzhou),Soochow University
"St George’s, University of London","St George's, University of London"
University at Albany (State University of New York),State University of New York Albany
"University at Albany, SUNY",State University of New York Albany
Sungkyunkwan University (SKKU),Sungkyunkwan University
ETH Zurich – Swiss Federal Institute of Technology Zurich,Swiss Federal Institute of Technology in Zurich
Swiss Federal Institute of Technology Zurich,Swiss Federal Institute of Technology in Zurich
École Polytechnique Fédérale de Lausanne,Swiss Federal Institute of Technology Lausanne
Swiss Federal Institute of Technology in Lausanne,Swiss Federal Institute of Technology Lausanne
Braunschweig University of Technology,Technical University of Braunschweig
Darmstadt University of Technology,Technical University of Darmstadt
Technical University Darmstadt,Technical University of Darmstadt
Technical University Munich,Technical University of Munich
Technion – Israel Institute of Technology,Technion Israel Institute of Technology
Technion-Israel Institute of Technology,Technion Israel Institute of Technology
"Texas A&M University, College Station",Texas A&M University
Texas Tech University (TTU),Texas Tech University
Tokyo Medical and Dental University (TMDU),Tokyo Medical and Dental University
"Trinity College, Dublin",Trinity College Dublin
Umeå University,Umea University
UNESP,"UNESP, São Paulo State University"
Université libre de Bruxelles,Université Libre de Bruxelles
Université libre de Bruxelles (ULB),Université Libre de Bruxelles
"University at Buffalo, The State University of New York",University at Buffalo
"University at Buffalo, the State University of New York",University at Buffalo
University of Alaska - Fairbanks,University of Alaska Fairbanks
University of Arkansas - Fayetteville,University of Arkansas at Fayetteville
Bayreuth University,University of Bayreuth
State University of Campinas,University of Campinas
University of Koeln,University of Cologne
University of Colorado Boulder,University of Colorado at Boulder
University of Colorado Denver,University of Colorado at Denver
University of Duesseldorf,University of Düsseldorf
University of Göttingen,University of Goettingen
University of Hannover,University of Hanover
University of Hawai’i at Mānoa,University of Hawaii at Manoa
University of Illinois at Urbana–Champaign,University of Illinois at Urbana-Champaign
University of Jyväskylä,University of Jyvaskyla
Leipzig University,University of Leipzig
University of Liège,University of Liege
"University of the Andes, Colombia",University of Los Andes (Colombia)
University of Massachusetts,University of Massachusetts Amherst
University of Massachusetts Medical School - Worcester,University of Massachusetts Medical School
University of Michigan-Ann Arbor,University of Michigan
"University of Michigan, Ann Arbor",University of Michigan
University of Milan-Bicocca,University of Milan - Bicocca
"University of Minnesota, Twin Cities",University of Minnesota
University of Missouri,University of Missouri–Columbia
University of Missouri - Columbia,University of Missouri–Columbia
University of Montana,University of Montana - Missoula
Montpellier University,University of Montpellier
University of Muenster,University of Münster
University of Nebraska-Lincoln,University of Nebraska - Lincoln
University of Nebraska–Lincoln,University of Nebraska - Lincoln
University of New Hampshire - Durham,University of New Hampshire
University of New Mexico - Albuquerque,University of New Mexico
"University of Newcastle, Australia",University of Newcastle
University of Oklahoma - Norman,University of Oklahoma
University of Oklahoma - Norman Campus,University of Oklahoma
Paris Descartes University,University of Paris Descartes
University of Paris Descartes (Paris 5),University of Paris Descartes
Paris-Sud University,University of Paris-Sud
University of Paris-Sud (Paris 11),University of Paris-Sud
University of Pittsburgh - Pittsburgh Campus,University of Pittsburgh
"University of Pittsburgh, Pittsburgh Campus",University of Pittsburgh
University of Québec at Montreal,University of Quebec
University of Rome Tor Vergata,University of Roma - Tor Vergata
University of Santiago Compostela,University of Santiago de Compostela
University of São Paulo,University of Sao Paulo
University of South Carolina - Columbia,University of South Carolina
University of South Florida - Tampa,University of South Florida
"University of Technology, Sydney",University of Technology Sydney
"University of Tennessee, Knoxville",University of Tennessee - Knoxville
University of Texas M. D. Anderson Cancer Center,University of Texas MD Anderson Cancer Center
University of Texas Southwestern Medical Center at Dallas,University of Texas Southwestern Medical Center
UiT The Arctic University of Norway,University of Tromsø - The Arctic University of Norway
University of Tuebingen,University of Tübingen
Ulm University,University of Ulm
University of Washington - Seattle,University of Washington
Western University,University of Western Ontario
Western University (The University of Western Ontario),University of Western Ontario
Western Sydney University,University of Western Sydney
University of Wisconsin-Madison,University of Wisconsin - Madison
University of Wisconsin–Madison,University of Wisconsin - Madison
University of Wuerzburg,University of Würzburg
Vrije Universiteit Brussel (VUB),Vrije Universiteit Brussel
University of Wageningen,Wageningen University and Research Centre
Wageningen University and Research Center,Wageningen University and Research Centre
"Washington State University, Pullman",Washington State University
Washington University in St. Louis,Washington University in St Louis
Xi'an Jiaotong University,Xian Jiao Tong University
