"","new_name","country","year","lon","lat","rank_cwur","national_rank_cwur","quality_of_education","alumni_employment","quality_of_faculty","publications","influence","citations_cwur","broad_impact","patents","total_score_cwur","rank_times","teaching","international","research","citations_times","income","total_score_times","num_students","student_staff_ratio","international_students","female_male_ratio","rank_shanghai","national_rank_shanghai","total_score_shanghai","alumni","award","hici","ns","pub","pcp"
"4","Yuan Ze University","Taiwan",2015,NA,NA,979,20,367,567,218,923,984,812,946,871,44.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Yonsei University","South Korea",2015,NA,NA,98,2,367,45,218,140,326,321,235,23,51.02,213,44.5,35.7,45.8,44.3,69.7,NA,"24,774",11.6,"14%","",250,"2-5",NA,0,0,8.6,4.9,52.1,21.4
"8","Yokohama City University","Japan",2015,NA,NA,513,27,367,231,218,685,370,645,520,359,44.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Yeungnam University","South Korea",2015,NA,NA,770,25,367,417,218,761,974,812,867,231,44.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Yamaguchi University","Japan",2015,NA,NA,657,41,367,567,218,753,787,645,732,202,44.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Yamagata University","Japan",2015,NA,NA,760,52,367,567,218,775,736,812,686,535,44.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Weizmann Institute of Science","Israel",2015,NA,NA,39,2,19,567,22,246,63,234,143,45,57.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,"3",NA,17.8,16.3,17,34.7,26.8,25.1
"30","Waseda University","Japan",2015,NA,NA,38,4,288,8,218,406,389,368,388,248,58.17,376,25.5,43.1,16.3,55.5,32.6,NA,"52,316",16.9,"8%","35 : 65",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Warsaw University of Technology","Poland",2015,NA,NA,646,3,344,545,218,696,757,287,579,824,44.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","VU University Amsterdam","Netherlands",2015,NA,NA,129,6,367,385,218,79,120,68,79,871,49.44,136,35.5,50.6,43.2,74.9,60,51.4,"23,280",16.3,"6%","56 : 44",98,"4",24.2,0,0,27.8,18,55.5,33.3
"36","Vita-Salute San Raffaele University","Italy",2015,NA,NA,329,11,367,567,218,478,279,321,260,871,45.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Virginia Polytechnic Institute and State University","United States of America",2015,NA,NA,256,98,283,152,218,201,264,234,285,181,46.46,288,40.1,28.9,40,40.7,42.6,NA,"30,850",18.6,"10%","42 : 58",250,"79-102",NA,11.5,0,11.4,11.4,40.9,17.4
"42","Versailles Saint-Quentin-en-Yvelines University","France",2015,NA,NA,371,15,367,567,218,443,232,264,308,839,45.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Uppsala University","Sweden",2015,NA,NA,124,3,73,321,70,95,75,93,103,871,49.57,98,40.2,57.5,53,70.9,39.6,54.6,"25,266",18.2,"12%","57 : 43",61,"2",29.2,17.8,27.4,18.4,24.6,49.8,27.1
"66","University of Warsaw","Poland",2015,NA,NA,462,2,118,562,150,409,462,428,437,716,44.91,326,20.8,41.6,13.6,70,28.5,NA,"49,292",14.1,"7%","67 : 33",350,"1-2",NA,15.4,0,0,8.8,29.9,16
"67","University of Wales, Trinity Saint David","United Kingdom",2015,NA,NA,830,62,367,567,218,1000,927,645,754,871,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","University of Veterinary Medicine Vienna","Austria",2015,NA,NA,848,12,367,567,184,872,687,511,809,654,44.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","University of Valladolid","Spain",2015,NA,NA,841,31,367,454,218,691,888,812,850,407,44.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","University of Valenciennes and Hainaut-Cambresis","France",2015,NA,NA,966,47,367,567,218,866,950,645,932,871,44.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","University of Tokyo","Japan",2015,NA,NA,13,1,16,3,38,14,19,31,29,7,78.23,23,81.4,32.4,85.1,74.7,51.2,76.1,"26,199",5.7,"10%","",21,"1",42,30.8,14.1,41.9,48.6,70.8,28.8
"99","University of the Ryukyus","Japan",2015,NA,NA,855,64,367,567,218,922,663,645,796,618,44.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","University of the Republic (Uruguay)","Uruguay",2015,NA,NA,867,66,367,567,218,814,669,812,809,871,44.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","University of the Basque Country","Spain",2015,NA,NA,485,15,367,567,218,318,387,511,480,266,44.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"9-13",NA,0,0,3.6,7.1,36.1,13.5
"103","University of the Algarve","Portugal",2015,NA,NA,996,7,367,567,218,926,845,812,969,816,44.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","University of Texas MD Anderson Cancer Center","United States of America",2015,NA,NA,90,53,367,567,80,93,72,42,29,71,51.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,"52-65",NA,0,0,28.2,21.4,41.3,32.4
"130","University of Southern Denmark","Denmark",2015,NA,NA,356,4,367,567,218,386,327,321,295,320,45.46,326,19.5,67.1,20.5,61.2,72.6,NA,"22,210",12.7,"16%","52 : 48",250,"4",NA,0,0,7.2,11.9,37.6,19.8
"142","University of Seville","Spain",2015,NA,NA,398,10,367,564,218,339,516,428,529,104,45.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"9-13",NA,0,0,0,7.5,33.7,11.3
"153","University of Salerno","Italy",2015,NA,NA,703,40,367,567,218,537,835,511,646,525,44.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","University of Salento","Italy",2015,NA,NA,765,43,367,567,218,661,743,511,699,654,44.28,263,32.3,40.3,25.6,64.5,38.4,NA,"19,959",58.4,"1%","64 : 36",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","University of Rostock","Germany",2015,NA,NA,450,35,364,567,218,443,591,511,373,325,44.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"29-39",NA,0,0,8.6,8.4,25,13.5
"159","University of Rochester","United States of America",2015,NA,NA,81,49,72,53,113,114,118,68,79,64,52.03,121,41.9,55.5,29.2,87.7,36.4,52.7,"9,390",4.5,"26%","49 : 51",126,"52-65",NA,24.6,7.7,25.2,20.8,39,20.8
"161","University of Rennes 1","France",2015,NA,NA,475,19,367,567,218,351,341,428,420,344,44.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,"19-22",NA,0,0,3.6,9.2,28.1,11.2
"173","University of Poitiers","France",2015,NA,NA,675,30,255,567,148,636,470,645,671,754,44.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","University of Picardie Jules Verne","France",2015,NA,NA,764,35,367,567,218,826,782,428,699,543,44.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","University of Perpignan Via Domitia","France",2015,NA,NA,822,40,160,567,218,974,580,428,826,871,44.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","University of Paris-Sud","France",2015,NA,NA,58,3,26,393,26,73,86,115,97,324,54.21,120,37.3,62.7,33.1,87.7,28.9,52.8,"27,603",15,"17%","",41,"2",33.6,30.3,54.3,16.8,17.4,47.3,26.6
"186","University of Paris Descartes","France",2015,NA,NA,217,11,203,567,218,177,142,287,156,455,47.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,"7-8",NA,11.5,9.4,12.2,13.5,40.1,15.7
"191","University of Oviedo","Spain",2015,NA,NA,559,16,367,539,218,440,445,428,495,579,44.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
